week,1A,1B,1topic,2A,2B,2topic
3,yyoung,shenry,call center accent modifier apps,kmaschmeyer,mrandazzo,student monitoring software
4,tgrant-knight,aprado,targeted ads,cmarra,myearwood,facial recognition
5,jpark,wtobias,Social Media Feedback Loops,hfung,twardally,Mark Zuckerberg vs. Congress: 'we did not sell data' (T|F|?)
6,rkaufman,qzou,facial recognition 'passes' for airline boarding,mthomas,jnovilloargudo,Workplace Surveillance Technology
7,mpark,wlamorie,predictive policing,rparker,erechtin,AI in the creative arts (specifically music and visual art)
8,sgoldstein,elara,algorithms used by judges in sentencing,jlin,jtheobald,
9,cdesilva,ehawkins,AI sex robots,uahmed,adriggers,Airtags and tracking concerns
10,awade,jhiggins,Breaking encryption for law enforcement,slojacono,kherr,
11,arobinson,ssabaugh,Digitization in Banking,lboland,dciolino-volano,
12,sadams,sseccafico,,smuller,mshuman,
13,jxue,twilliams,,ylevels,ysears,
14,beckley,smccoy,,aufret,abraick,
15,kmartin,pelfers-wygand,,jbianchi,ncojuangco,neural implants for input/output
16,dmoste,alee,,pmohanlall,acassara,
